version,major,date,item_index,summary,full,cves
15.0,15,2022-10-13,50,"Allow publication content to be filtered using a WHERE clause (Hou Zhijie, Euler Taveira, Peter Smith, Ajin Cherian, Tomas Vondra, Amit Kapila) § § §","Allow publication content to be filtered using a WHERE clause (Hou Zhijie, Euler Taveira, Peter Smith, Ajin Cherian, Tomas Vondra, Amit Kapila) § § § Rows not satisfying the WHERE clause are not published.",
15.0,15,2022-10-13,51,"Allow publication content to be restricted to specific columns (Tomas Vondra, Álvaro Herrera, Rahila Syed) §","Allow publication content to be restricted to specific columns (Tomas Vondra, Álvaro Herrera, Rahila Syed) §",
15.0,15,2022-10-13,52,Allow skipping of transactions on a subscriber using ALTER SUBSCRIPTION ... SKIP (Masahiko Sawada) §,Allow skipping of transactions on a subscriber using ALTER SUBSCRIPTION ... SKIP (Masahiko Sawada) §,
15.0,15,2022-10-13,53,"Add support for prepared (two-phase) transactions to logical replication (Peter Smith, Ajin Cherian, Amit Kapila, Nikhil Sontakke, Stas Kelvich) § § §","Add support for prepared (two-phase) transactions to logical replication (Peter Smith, Ajin Cherian, Amit Kapila, Nikhil Sontakke, Stas Kelvich) § § § The new CREATE_REPLICATION_SLOT option is called TWO_PHASE . pg_recvlogical now supports a new --two-phase option during slot creation.",
15.0,15,2022-10-13,54,"Prevent logical replication of empty transactions (Ajin Cherian, Hou Zhijie, Euler Taveira) §","Prevent logical replication of empty transactions (Ajin Cherian, Hou Zhijie, Euler Taveira) § Previously, publishers would send empty transactions to subscribers if subscribed tables were not modified.",
15.0,15,2022-10-13,55,Add SQL functions to monitor the directory contents of logical replication slots (Bharath Rupireddy) §,"Add SQL functions to monitor the directory contents of logical replication slots (Bharath Rupireddy) § The new functions are pg_ls_logicalsnapdir() , pg_ls_logicalmapdir() , and pg_ls_replslotdir() . They can be run by members of the predefined pg_monitor role.",
15.0,15,2022-10-13,56,"Allow subscribers to stop the application of logical replication changes on error (Osumi Takamichi, Mark Dilger) §","Allow subscribers to stop the application of logical replication changes on error (Osumi Takamichi, Mark Dilger) § This is enabled with the subscriber option disable_on_error and avoids possible infinite error loops during stream application.",
15.0,15,2022-10-13,57,Adjust subscriber server variables to match the publisher so datetime and float8 values are interpreted consistently (Japin Li) §,Adjust subscriber server variables to match the publisher so datetime and float8 values are interpreted consistently (Japin Li) § Some publishers might be relying on inconsistent behavior.,
15.0,15,2022-10-13,58,Add system view pg_stat_subscription_stats to report on subscriber activity (Masahiko Sawada) § §,Add system view pg_stat_subscription_stats to report on subscriber activity (Masahiko Sawada) § § The new function pg_stat_reset_subscription_stats() allows resetting these statistics counters.,
15.0,15,2022-10-13,59,Suppress duplicate entries in the pg_publication_tables system view (Hou Zhijie) §,Suppress duplicate entries in the pg_publication_tables system view (Hou Zhijie) § In some cases a partition could appear more than once.,
15.0,15,2022-10-13,60,"Add SQL MERGE command to adjust one table to match another (Simon Riggs, Pavan Deolasee, Álvaro Herrera, Amit Langote) §","Add SQL MERGE command to adjust one table to match another (Simon Riggs, Pavan Deolasee, Álvaro Herrera, Amit Langote) § This is similar to INSERT ... ON CONFLICT but more batch-oriented.",
15.0,15,2022-10-13,61,Add support for HEADER option in COPY text format (Rémi Lapeyre) § §,"Add support for HEADER option in COPY text format (Rémi Lapeyre) § § The new option causes the column names to be output, and optionally verified on input.",
15.0,15,2022-10-13,62,Add new WAL -logged method for database creation (Dilip Kumar) §,"Add new WAL -logged method for database creation (Dilip Kumar) § This is the new default method for copying the template database, as it avoids the need for checkpoints during database creation. However, it might be slow if the template database is large, so the old method is still available.",
15.0,15,2022-10-13,63,"Allow CREATE DATABASE to set the database OID (Shruthi Gowda, Antonin Houska) §","Allow CREATE DATABASE to set the database OID (Shruthi Gowda, Antonin Houska) §",
15.0,15,2022-10-13,64,"Prevent DROP DATABASE , DROP TABLESPACE , and ALTER DATABASE SET TABLESPACE from occasionally failing during concurrent use on Windows (Thomas Munro) §","Prevent DROP DATABASE , DROP TABLESPACE , and ALTER DATABASE SET TABLESPACE from occasionally failing during concurrent use on Windows (Thomas Munro) §",
15.0,15,2022-10-13,65,Allow foreign key ON DELETE SET actions to affect only specified columns (Paul Martinez) §,"Allow foreign key ON DELETE SET actions to affect only specified columns (Paul Martinez) § Previously, all of the columns in the foreign key were always affected.",
15.0,15,2022-10-13,66,"Allow ALTER TABLE to modify a table's ACCESS METHOD (Justin Pryzby, Jeff Davis) §","Allow ALTER TABLE to modify a table's ACCESS METHOD (Justin Pryzby, Jeff Davis) §",
15.0,15,2022-10-13,67,Properly call object access hooks when ALTER TABLE causes table rewrites (Michael Paquier) §,Properly call object access hooks when ALTER TABLE causes table rewrites (Michael Paquier) §,
15.0,15,2022-10-13,68,Allow creation of unlogged sequences (Peter Eisentraut) §,Allow creation of unlogged sequences (Peter Eisentraut) §,
15.0,15,2022-10-13,69,Track dependencies on individual columns in the results of functions returning composite types (Tom Lane) §,"Track dependencies on individual columns in the results of functions returning composite types (Tom Lane) § Previously, if a view or rule contained a reference to a specific column within the result of a composite-returning function, that was not noted as a dependency; the view or rule was only considered to depend on the composite type as a whole. This meant that dropping the individual column would be allowed, causing problems in later use of the view or rule. The column-level dependency is now also noted, so that dropping such a column will be rejected unless the view is changed or dropped.",
15.0,15,2022-10-13,70,"Allow the scale of a numeric value to be negative, or greater than its precision (Dean Rasheed, Tom Lane) §","Allow the scale of a numeric value to be negative, or greater than its precision (Dean Rasheed, Tom Lane) § This allows rounding of values to the left of the decimal point, e.g., '1234'::numeric(4, -2) returns 1200.",
15.0,15,2022-10-13,71,Improve overflow detection when casting values to interval (Joe Koshakow) §,Improve overflow detection when casting values to interval (Joe Koshakow) §,
15.0,15,2022-10-13,72,"Change the I/O format of type ""char"" for non-ASCII characters (Tom Lane) §","Change the I/O format of type ""char"" for non-ASCII characters (Tom Lane) §",
15.0,15,2022-10-13,73,"Update the display width information of modern Unicode characters, like emojis (Jacob Champion) § §","Update the display width information of modern Unicode characters, like emojis (Jacob Champion) § § Also update from Unicode 5.0 to 14.0.0. There is now an automated way to keep Postgres updated with Unicode releases.",
15.0,15,2022-10-13,74,Add multirange input to range_agg() (Paul Jungwirth) §,Add multirange input to range_agg() (Paul Jungwirth) §,
15.0,15,2022-10-13,75,Add MIN() and MAX() aggregates for the xid8 data type (Ken Kato) §,Add MIN() and MAX() aggregates for the xid8 data type (Ken Kato) §,
15.0,15,2022-10-13,76,"Add regular expression functions for compatibility with other relational systems (Gilles Darold, Tom Lane) §","Add regular expression functions for compatibility with other relational systems (Gilles Darold, Tom Lane) § The new functions are regexp_count() , regexp_instr() , regexp_like() , and regexp_substr() . Some new optional arguments were also added to regexp_replace() .",
15.0,15,2022-10-13,77,Add the ability to compute the distance between polygons (Tom Lane) §,Add the ability to compute the distance between polygons (Tom Lane) §,
15.0,15,2022-10-13,78,"Add to_char() format codes of , tzh , and tzm (Nitin Jadhav) §","Add to_char() format codes of , tzh , and tzm (Nitin Jadhav) § The upper-case equivalents of these were already supported.",
15.0,15,2022-10-13,79,"When applying AT TIME ZONE to a time with time zone value, use the transaction start time rather than wall clock time to determine whether DST applies (Aleksander Alekseev, Tom Lane) §","When applying AT TIME ZONE to a time with time zone value, use the transaction start time rather than wall clock time to determine whether DST applies (Aleksander Alekseev, Tom Lane) § This allows the conversion to be considered stable rather than volatile, and it saves a kernel call per invocation.",
15.0,15,2022-10-13,80,Ignore NULL array elements in ts_delete() and setweight() functions with array arguments (Jean-Christophe Arnu) §,"Ignore NULL array elements in ts_delete() and setweight() functions with array arguments (Jean-Christophe Arnu) § These functions effectively ignore empty-string array elements (since those could never match a valid lexeme). It seems consistent to let them ignore NULL elements too, instead of failing.",
15.0,15,2022-10-13,81,Add support for petabyte units to pg_size_pretty() and pg_size_bytes() (David Christensen) §,Add support for petabyte units to pg_size_pretty() and pg_size_bytes() (David Christensen) §,
15.0,15,2022-10-13,82,Change pg_event_trigger_ddl_commands() to output references to other sessions' temporary schemas using the actual schema name (Tom Lane) §,"Change pg_event_trigger_ddl_commands() to output references to other sessions' temporary schemas using the actual schema name (Tom Lane) § Previously this function reported all temporary schemas as pg_temp , but it's misleading to use that for any but the current session's temporary schema.",
15.0,15,2022-10-13,83,Fix enforcement of PL/pgSQL variable CONSTANT markings (Tom Lane) §,"Fix enforcement of PL/pgSQL variable CONSTANT markings (Tom Lane) § Previously, a variable could be used as a CALL output parameter or refcursor OPEN variable despite being marked CONSTANT .",
15.0,15,2022-10-13,84,Allow IP address matching against a server certificate's Subject Alternative Name (Jacob Champion) §,Allow IP address matching against a server certificate's Subject Alternative Name (Jacob Champion) §,
15.0,15,2022-10-13,85,Allow PQsslAttribute() to report the SSL library type without requiring a libpq connection (Jacob Champion) §,Allow PQsslAttribute() to report the SSL library type without requiring a libpq connection (Jacob Champion) §,
15.0,15,2022-10-13,86,Change query cancellations sent by the client to use the same TCP settings as normal client connections (Jelte Fennema) §,Change query cancellations sent by the client to use the same TCP settings as normal client connections (Jelte Fennema) § This allows configured TCP timeouts to apply to query cancel connections.,
15.0,15,2022-10-13,87,Prevent libpq event callback failures from forcing an error result (Tom Lane) § §,Prevent libpq event callback failures from forcing an error result (Tom Lane) § §,
15.0,15,2022-10-13,88,"Allow pgbench to retry after serialization and deadlock failures (Yugo Nagata, Marina Polyakova) §","Allow pgbench to retry after serialization and deadlock failures (Yugo Nagata, Marina Polyakova) §",
15.0,15,2022-10-13,89,"Improve performance of psql 's \copy command, by sending data in larger chunks (Heikki Linnakangas) §","Improve performance of psql 's \copy command, by sending data in larger chunks (Heikki Linnakangas) §",
15.0,15,2022-10-13,90,"Add \dconfig command to report server variables (Mark Dilger, Tom Lane) § § §","Add \dconfig command to report server variables (Mark Dilger, Tom Lane) § § § This is similar to the server-side SHOW command, but it can process patterns to show multiple variables conveniently.",
15.0,15,2022-10-13,91,Add \getenv command to assign the value of an environment variable to a psql variable (Tom Lane) §,Add \getenv command to assign the value of an environment variable to a psql variable (Tom Lane) §,
15.0,15,2022-10-13,92,Add + option to the \lo_list and \dl commands to show large-object privileges (Pavel Luzanov) §,Add + option to the \lo_list and \dl commands to show large-object privileges (Pavel Luzanov) §,
15.0,15,2022-10-13,93,"Add a pager option for the \watch command (Pavel Stehule, Thomas Munro) §","Add a pager option for the \watch command (Pavel Stehule, Thomas Munro) § This is only supported on Unix and is controlled by the PSQL_WATCH_PAGER environment variable.",
15.0,15,2022-10-13,94,"Make psql include intra-query double-hyphen comments in queries sent to the server (Tom Lane, Greg Nancarrow) § §","Make psql include intra-query double-hyphen comments in queries sent to the server (Tom Lane, Greg Nancarrow) § § Previously such comments were removed from the query before being sent. Double-hyphen comments that are before any query text are not sent, and are not recorded as separate psql history entries.",
15.0,15,2022-10-13,95,Adjust psql so that Readline 's meta- # command will insert a double-hyphen comment marker (Tom Lane) §,"Adjust psql so that Readline 's meta- # command will insert a double-hyphen comment marker (Tom Lane) § Previously a pound marker was inserted, unless the user had taken the trouble to configure a non-default comment marker.",
15.0,15,2022-10-13,96,Make psql output all results when multiple queries are passed to the server at once (Fabien Coelho) §,"Make psql output all results when multiple queries are passed to the server at once (Fabien Coelho) § Previously, only the last query result was displayed. The old behavior can be restored by setting the SHOW_ALL_RESULTS psql variable to off .",
15.0,15,2022-10-13,97,"After an error is detected in --single-transaction mode, change the final COMMIT command to ROLLBACK only if ON_ERROR_STOP is set (Michael Paquier) §","After an error is detected in --single-transaction mode, change the final COMMIT command to ROLLBACK only if ON_ERROR_STOP is set (Michael Paquier) § Previously, detection of an error in a -c command or -f script file would lead to issuing ROLLBACK at the end, regardless of the value of ON_ERROR_STOP .",
15.0,15,2022-10-13,98,"Improve psql 's tab completion (Shinya Kato, Dagfinn Ilmari Mannsåker, Peter Smith, Koyu Tanigawa, Ken Kato, David Fetter, Haiying Tang, Peter Eisentraut, Álvaro Herrera, Tom Lane, Masahiko Sawada) § § § § § § § § § § § § § § § § § § § §","Improve psql 's tab completion (Shinya Kato, Dagfinn Ilmari Mannsåker, Peter Smith, Koyu Tanigawa, Ken Kato, David Fetter, Haiying Tang, Peter Eisentraut, Álvaro Herrera, Tom Lane, Masahiko Sawada) § § § § § § § § § § § § § § § § § § § §",
15.0,15,2022-10-13,99,Limit support of psql 's backslash commands to servers running PostgreSQL 9.2 or later (Tom Lane) §,Limit support of psql 's backslash commands to servers running PostgreSQL 9.2 or later (Tom Lane) § Remove code that was only used when running with an older server. Commands that do not require any version-specific adjustments compared to 9.2 will still work.,
15.0,15,2022-10-13,100,Make pg_dump dump public schema ownership changes and security labels (Noah Misch) § §,Make pg_dump dump public schema ownership changes and security labels (Noah Misch) § §,
15.0,15,2022-10-13,101,Improve performance of dumping databases with many objects (Tom Lane) § § §,Improve performance of dumping databases with many objects (Tom Lane) § § § This will also improve the performance of pg_upgrade .,
15.0,15,2022-10-13,102,Improve parallel pg_dump 's performance for tables with large TOAST tables (Tom Lane) §,Improve parallel pg_dump 's performance for tables with large TOAST tables (Tom Lane) §,
15.0,15,2022-10-13,103,Add dump/restore option --no-table-access-method to force restore to only use the default table access method (Justin Pryzby) §,Add dump/restore option --no-table-access-method to force restore to only use the default table access method (Justin Pryzby) §,
15.0,15,2022-10-13,104,Limit support of pg_dump and pg_dumpall to servers running PostgreSQL 9.2 or later (Tom Lane) §,Limit support of pg_dump and pg_dumpall to servers running PostgreSQL 9.2 or later (Tom Lane) §,
15.0,15,2022-10-13,105,Add new pg_basebackup option --target to control the base backup location (Robert Haas) §,Add new pg_basebackup option --target to control the base backup location (Robert Haas) § The new options are server to write the backup locally and blackhole to discard the backup (for testing).,
15.0,15,2022-10-13,106,"Allow pg_basebackup to do server-side gzip, LZ4, and Zstandard compression and client-side LZ4 and Zstandard compression of base backup files (Dipesh Pandit, Jeevan Ladhe) § § §","Allow pg_basebackup to do server-side gzip, LZ4, and Zstandard compression and client-side LZ4 and Zstandard compression of base backup files (Dipesh Pandit, Jeevan Ladhe) § § § Client-side gzip compression was already supported.",
15.0,15,2022-10-13,107,Allow pg_basebackup to compress on the server side and decompress on the client side before storage (Dipesh Pandit) §,Allow pg_basebackup to compress on the server side and decompress on the client side before storage (Dipesh Pandit) § This is accomplished by specifying compression on the server side and plain output format.,
15.0,15,2022-10-13,108,"Allow pg_basebackup 's --compress option to control the compression location (server or client), compression method, and compression options (Michael Paquier, Robert Haas) § § §","Allow pg_basebackup 's --compress option to control the compression location (server or client), compression method, and compression options (Michael Paquier, Robert Haas) § § §",
15.0,15,2022-10-13,109,Add the LZ4 compression method to pg_receivewal (Georgios Kokolatos) § §,Add the LZ4 compression method to pg_receivewal (Georgios Kokolatos) § § This is enabled via --compress=lz4 and requires binaries to be built using --with-lz4 .,
15.0,15,2022-10-13,110,Add additional capabilities to pg_receivewal 's --compress option (Georgios Kokolatos) §,Add additional capabilities to pg_receivewal 's --compress option (Georgios Kokolatos) §,
15.0,15,2022-10-13,111,Improve pg_receivewal 's ability to restart at the proper WAL location (Ronan Dunklau) §,"Improve pg_receivewal 's ability to restart at the proper WAL location (Ronan Dunklau) § Previously, pg_receivewal would start based on the WAL file stored in the local archive directory, or at the sending server's current WAL flush location. With this change, if the sending server is running Postgres 15 or later, the local archive directory is empty, and a replication slot is specified, the replication slot's restart point will be used.",
15.0,15,2022-10-13,112,Add pg_rewind option --config-file to simplify use when server configuration files are stored outside the data directory (Gunnar Bluth) §,Add pg_rewind option --config-file to simplify use when server configuration files are stored outside the data directory (Gunnar Bluth) §,
15.0,15,2022-10-13,113,Store pg_upgrade 's log and temporary files in a subdirectory of the new cluster called pg_upgrade_output.d (Justin Pryzby) § § §,"Store pg_upgrade 's log and temporary files in a subdirectory of the new cluster called pg_upgrade_output.d (Justin Pryzby) § § § Previously such files were left in the current directory, requiring manual cleanup. Now they are automatically removed on successful completion of pg_upgrade .",
