item_ord,content_hash,model,prompt_version,category_content,confidence,is_security_hardening,is_performance,rationale
19,8cd426e7eff5b52c,qwen3:30b-a3b,v2,Client tools,0.95,false,false,"The fix addresses an issue where pg_dump fails to dump comments on certain CHECK constraints, which relates to the functionality of the pg_dump utility when handling specific database objects."
20,8e84aacc6d58ccb5,qwen3:30b-a3b,v2,"Numeric, overflow & limits",0.95,false,false,"The fix addresses an issue where the CREATE DATABASE command's oid parameter was restricted to values below 2^31, which caused problems during pg_upgrade when databases with larger OIDs existed. This is fundamentally about a numeric limit in a database creation parameter, not a security or performance issue."
21,5dfad0041131296c,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses a memory access issue in pg_stat_statements where it accesses memory that has already been freed, specifically during a ROLLBACK command via the extended query protocol. This is a memory safety issue, not a numeric or overflow problem."
22,c0a16a8e3e2906d8,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses incompatibilities with LLVM 15, which relates to the build system or compiler compatibility, not to query execution, security, or performance. This falls under the 'Build & platform' category as it involves the build system and compiler toolchain compatibility."
23,dcd2afcf350cc703,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix allows the use of a GCC builtin function for spinlocks on any machine, easing portability to new architectures. This is about improving build and platform compatibility, not security, performance, or other categories."
24,f1618b5d18e77c11,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses a symbol name conflict with a recent macOS system header, which is a build-time issue related to compiler compatibility on a specific platform."
25,6466cbf45b928ba8,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses compile-time deprecation warnings related to the use of sprintf, which is a C library function. This is a code maintenance issue to avoid warnings, not a functional or security-related fix."
26,e1fb548e96ce33e1,qwen3:30b-a3b,v2,Client interfaces,0.95,true,false,"The fix addresses a memory disclosure vulnerability where libpq copies unbounded application memory contents into an error report after a GSSAPI encryption setup failure, which could lead to sensitive data exposure. This is a security hardening issue due to improper handling of error messages leading to memory leakage."
27,fc1e1702abf8ff91,qwen3:30b-a3b,v2,Partitioning & inheritance,0.95,false,false,"The fix addresses an issue where GENERATED columns in child tables of partitioned tables or inheritance structures were not being updated correctly during an UPDATE operation, specifically when these columns do not exist in the parent table or have different dependencies in their generation expressions. This is fundamentally about ensuring correct behavior of generated columns within the context of partitioned tables and inheritance, which falls under the category of partitioning and inheritance."
28,f5bfdeb3a1c3fc30,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an issue where MERGE statements with UPDATE followed by INSERT actions failed to compute GENERATED columns correctly, specifically when those columns didn't depend on the UPDATE target columns. This is fundamentally about incorrect behavior in query execution related to GENERATED columns during MERGE operations."
29,5096418d8e69e44e,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a logical error in the MERGE statement where an unreachable WHEN clause following an unconditional one was not properly detected, which could lead to incorrect query behavior or unexpected results."
30,8ac28fc8a6535643,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a test failure in MERGE operations when tables previously had rules but no longer do, which relates to the correct handling of SQL semantics during execution, specifically the behavior of MERGE on tables with or without rules."
31,bbcd8a055060076c,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a discrepancy in the MERGE statement's behavior where a DO NOTHING action was incorrectly counted as a processed tuple, aligning the implementation with the documentation. This is about ensuring correct execution semantics of the MERGE command, not a security issue or performance improvement."
32,686decadeae8a915,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an issue where a WITH RECURSIVE CTE with a CYCLE clause could not access its output column due to a cache lookup failure for type 0. This is fundamentally about the correct behavior of recursive CTEs, specifically the handling of output columns within the CTE structure, which falls under query execution semantics."
33,266bd8a8f8e10ee1,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an issue where pending inserts to a foreign table were not being flushed promptly, causing logical inconsistencies such as BEFORE ROW triggers not seeing the expected rows. This relates to the correct execution of triggers and data consistency during foreign table operations."
34,f3dfeb4b795bfa1a,qwen3:30b-a3b,v2,Partitioning & inheritance,0.95,false,false,"The fix addresses an issue where setting REPLICA IDENTITY on a partitioned index before it's valid causes restore failures in pg_dump, allowing the order to be reversed without affecting functionality since the index won't be valid until later."
35,6f9654a1ea5a26fc,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an issue where DEFAULT markers in rules for multi-row INSERT operations were not being correctly replaced with default-value expressions, causing an error. This relates to the correct handling of SQL semantics during query execution, specifically in the context of rules and INSERT operations."
36,e257c93662363c3e,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an issue where jsonpath existence operators incorrectly treated undefined variables as matches, which is a correctness problem in how the JSON path expressions are evaluated. This falls under the category of execution and correctness, as it pertains to the behavior of the query execution engine when handling JSON path expressions."
37,ac9d59806e786ef2,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix addresses an issue where jsonb subscripting failed when using text values from a table as keys, specifically handling toasted (out-of-line) values. This is about correct behavior of jsonb data type operations, not security or performance."
38,f578b6fe8b6e7d64,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a data corruption issue in parallel hash joins caused by a fencepost bug when writing large tuples to temporary files, which is a correctness problem in query execution."
39,6f06c79f1e2ac7e2,qwen3:30b-a3b,v2,"Storage, vacuum & TOAST",0.95,false,true,"The fix addresses an issue where the internal state of checkpoint completion target settings was not updated after a change, leading to potential discrepancies in checkpoint I/O performance. This is about ensuring the system correctly applies configuration changes to checkpoint behavior, which falls under storage and vacuum management."
40,4862be874c1dfac0,qwen3:30b-a3b,v2,Replication & recovery,0.95,false,false,"The fix addresses an incorrect timestamp being logged during recovery when using recovery_target_xid mode with recovery_target_inclusive = off, which is a correctness issue in the recovery process."
41,6e5f249242ccc98f,qwen3:30b-a3b,v2,Client interfaces,0.95,false,false,"The fix improves error reporting for buffered file read failures by correctly reporting the number of bytes desired versus actually read, specifically addressing a bug in replication logic that previously reported an irrelevant error code. This is about enhancing the clarity and accuracy of error messages during file operations, not about security, performance, or a specific functional area like execution or storage."
42,ac92ba60b4eb0b29,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix removes a limit on the number of elements in int2vector and oidvector types, which was causing logical replication failures when handling long column lists. This is about addressing a limitation in data type handling, specifically related to the maximum size of these vector types."
43,fce1f6fb05590680,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a behavior where ANALYZE would incorrectly commit a transaction within a pipelined command sequence, which is a correctness issue in query execution rather than a security or performance problem."
44,c1c58dd4441faae1,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses a buffer overrun vulnerability where the server processed cancel request packets with insufficient length, potentially causing out-of-bounds memory access. This is a security hardening issue as it prevents memory safety issues."
45,62fdb4b317b6ff6f,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses an issue in the query planner related to window function expressions, specifically preventing planner errors when window functions are used in subplan target lists. This is about the planner's ability to correctly process and handle window function run-condition expressions during query planning."
46,8da672611f26fbd0,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses a dangling-pointer access issue during the execution of window function run-condition expressions, which is a stability and memory safety concern. This is not a numeric overflow or performance issue but rather a memory safety problem that could lead to crashes or undefined behavior."
47,830b6795b033fc86,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,true,"The fix addresses a potential for deep recursion and excessive time consumption during subquery flattening, which could lead to unresponsive queries. This is fundamentally about preventing a performance issue and ensuring query cancellation is possible, not about security or numeric limits."
48,2c1973983f4dc90c,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses issues in the query planner related to the interaction between Memoize nodes and partitionwise joins or parameterized nestloops, which could result in suboptimal or incorrect query plans. This is fundamentally about the planner's behavior in handling specific query structures."
49,96aa4737a71feb8b,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses an issue where the partitionwise-join code would fail to produce a plan for individual partitions, leading to a 'could not devise a query plan' error. This is fundamentally about query planning and optimization, specifically handling partitioned tables during join operations."
50,3b918b135c986e4a,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,true,The fix addresses a performance issue in the planner where excessive work during index cleanup after large tuple deletions could cause significant performance hiccups. It limits the cleanup to 100 heap pages per query to prevent large performance impacts without affecting eventual correctness.
51,b4bd7930bf633b56,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,false,false,"The fix addresses a scenario where converting a table to a view could cause crashes or assertion failures due to the statistics machinery being confused by a change in the relation's relkind. This is fundamentally about backend stability related to relation type changes, not query results, performance, or security."
52,4e5c98c2d86b8e34,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix addresses an issue with the display formatting of AT TIME ZONE constructs, specifically when they are under-parenthesized, which could lead to dump/restore failures for rules or views. This is about the correct handling of SQL syntax and semantics during serialization/deserialization, not about performance, security, or a specific component like indexes or execution."
53,82f206d4a16bbcd2,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a crash or error caused by caching issues in SQL functions when executing utility statements multiple times, which relates to the execution behavior of SQL functions and their interaction with utility commands."
54,e5a1d7032dadf6c5,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix ensures that full-text-search queries can be cancelled during phrase matching, addressing a cancellation mechanism issue within the query execution process."
55,c2955d8527f8851a,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix addresses a memory leak specifically related to hashing strings using nondeterministic collations, which is a data type and text handling issue involving collation behavior."
56,9f2c3f504fbdc331,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,false,false,"The fix addresses a deadlock scenario between dropping a database and a logical replication worker process, specifically due to blocking interrupts during logical replication slot creation. This is fundamentally about concurrency and locking issues, as it involves a deadlock caused by interrupt blocking during I/O operations."
57,c871af2308eb89b8,qwen3:30b-a3b,v2,Client interfaces,0.95,false,false,"The fix addresses a memory leak in libpq related to failed replication connection attempts, specifically cleaning up the connection object after failure. This is a memory management issue, not a security vulnerability or performance improvement."
58,e9d02f4cd936e7f8,qwen3:30b-a3b,v2,Replication & recovery,0.95,false,true,"The fix addresses performance issues in hot-standby servers related to tracking active XIDs on the primary, specifically by improving the cleanup of the KnownAssignedXids array to reduce processing effort under high connection loads."
59,128207c68956eb14,qwen3:30b-a3b,v2,Replication & recovery,0.95,false,false,"The fix addresses a scenario where invalidated replication slots were still being considered during catalog cleanup, leading to unnecessary bloat in system catalogs. This is about replication slot management and its impact on storage efficiency, not a security issue or performance improvement."
60,5b6f5ba6bd8bbe7a,qwen3:30b-a3b,v2,Replication & recovery,0.95,false,false,"The fix addresses a logical decoding issue where the subscriber wasn't notified about a transaction that crashed, causing unnecessary streaming files to persist until the next restart. This is fundamentally about replication behavior and communication between nodes in a logical replication setup."
61,f068bef4d81f7743,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses uninitialized memory usage in logical decoding, specifically preventing the reuse of freed XID data which could cause unpredictable behavior. This is a memory safety issue related to improper handling of memory resources."
62,4cb5e90c942f729c,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses a potential inconsistency in shared state during logical decoding context creation by ensuring proper spinlock acquisition for two-phase transaction data updates, which is a concurrency and locking issue."
63,4d2bb2c05e48192a,qwen3:30b-a3b,v2,Replication & recovery,0.95,false,true,"The fix addresses an issue where the pgoutput replication plugin was sending unnecessary columns in UPDATE and DELETE events, which could confuse external replication receivers and waste bandwidth. This is fundamentally about ensuring correct behavior in replication data transmission, specifically related to the replication plugin's handling of column lists."
64,5372dfe0e79ddf97,qwen3:30b-a3b,v2,Indexes,0.95,false,false,"The fix addresses a panic during WAL replay related to hash-index page splits, specifically a failure to acquire a cleanup lock. This is a stability issue tied to index operations during recovery, not a security vulnerability or performance improvement."
65,d4e710b2f78a557c,qwen3:30b-a3b,v2,Replication & recovery,0.95,false,false,"The fix addresses a WAL replay issue where a heap page's LSN wasn't advanced when setting its all-visible bit, potentially causing inconsistencies between primary and standby servers. This is a replication and recovery concern related to WAL handling during replay."
66,9badaa4047f9bfe9,qwen3:30b-a3b,v2,"Numeric, overflow & limits",0.95,false,false,"The fix addresses a function that incorrectly handled certain inputs for integer division to numeric conversion, specifically expanding its input range. This is a numeric arithmetic issue, not a security vulnerability or performance improvement."
67,7ecbd1af6ba7704f,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses a latent buffer-overrun issue in the WaitEventSet logic, specifically in epoll and kqueue implementations, where the internal buffer size could differ from the caller's output buffer, potentially leading to a security vulnerability. This is a memory-safety issue, not related to numeric overflow or limits."
68,7026a98380bca3bd,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses a potential issue with pointer alignment in shared memory access on 32-bit builds, which could lead to undefined behavior. This is a memory safety concern related to alignment, not a numeric overflow or performance issue."
69,5274288378b149e8,qwen3:30b-a3b,v2,Indexes,0.95,false,false,"The fix addresses an overly strict assertion in BRIN minmax-multi opclasses, which is a type of index access method. The assertion failure was harmless in non-assert builds, indicating it's a correctness issue within the index implementation rather than a security or performance problem."
70,4cd0cbdba7576b05,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix removes a faulty assertion in the query optimization logic related to RESULT-RTE, which is part of the query planning and optimization process. This is not a security issue or performance improvement but a correctness fix in the planner."
71,af6a0ea3099590b9,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses incorrect error messages related to ACL (Access Control List) checks, specifically correcting copy-paste errors in messages that would rarely be triggered. The core issue is about the accuracy of error reporting, not a security vulnerability or performance issue."
72,6e0772e6f15f49cd,qwen3:30b-a3b,v2,Client tools,0.95,false,false,"The fix addresses a potential corruption issue in very large tablespace map files during pg_basebackup, which is a client tool used for backup operations. This relates to the integrity of the backup process and the handling of large files, falling under the 'Client tools' category as it involves pg_basebackup, a server-shipped command-line program."
73,ee8fbe5979e84bb8,qwen3:30b-a3b,v2,Client tools,0.95,false,false,"The fix addresses a harmless warning message in pg_dump when using the --if-exists option, specifically related to schema ownership. The issue is about the output message not being correctly handled, not about data correctness, performance, or security."
74,a39961215e2bbdf7,qwen3:30b-a3b,v2,Client tools,0.95,false,false,"The fix addresses an issue in the psql command-line tool where the \sf and \ef commands incorrectly identified the start of SQL-language function bodies when using new-style syntax, which affects how function definitions are displayed or edited."
75,a73c9ee0be9c0aba,qwen3:30b-a3b,v2,Client tools,0.95,false,false,"The fix addresses an issue with tab completion for the ALTER FUNCTION/PROCEDURE/ROUTINE ... SET SCHEMA command, which is related to the behavior of the command-line interface or client tool. This is not about query execution, data types, or security, but rather about the user interface for command completion in a client tool."
76,37adf6e2bacc29de,qwen3:30b-a3b,v2,Extensions & contrib,0.95,false,false,"The fix updates the pageinspect contrib module to mark disk-accessing functions as PARALLEL RESTRICTED, preventing potential failures when examining temporary tables in parallel workers. This addresses a concurrency issue related to temporary table accessibility in parallel execution contexts."
77,07604de1c3801417,qwen3:30b-a3b,v2,"Numeric, overflow & limits",0.95,true,false,"The fix addresses a crash and potential garbage output when processing input numbers with more than 127 digits in the contrib/seg module, which is related to numeric handling but specifically involves a buffer overflow or out-of-bounds access in the input processing."
78,c5b161ec892dc221,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses a build issue specific to Microsoft Visual Studio 2013, which lacks the snprintf() function, requiring a fallback to sprintf(). This is a platform-specific build compatibility issue, not related to query execution, security, or performance."
79,9634b7019040bff0,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses a compile failure when building PL/Perl with MSVC using Strawberry Perl, which is a specific build issue related to the PL/Perl extension on Windows with MSVC."
80,892f6fe201479f2b,qwen3:30b-a3b,v2,Extensions & contrib,0.95,false,false,"The fix addresses a compatibility issue between PL/Perl built with MSVC and a Perl library built with gcc, which could cause loadable library errors due to binary incompatibility. This is not a security or performance issue but relates to the extension's compatibility."
81,dc869d4272f217c5,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses compiler warnings related to Perl header files, specifically suppressing warnings when using gcc. This is not related to query execution, security, performance, or any core PostgreSQL functionality but rather a build-time adjustment to avoid unnecessary warnings during compilation."
82,f4aa77fe00bbd19e,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses a build issue with pg_waldump on compilers that do not discard unused static-inline functions, which is a build system or platform compatibility problem."
83,6286b6df6437e70d,qwen3:30b-a3b,v2,"Numeric, overflow & limits",0.95,true,false,"The fix addresses a security vulnerability where CREATE SCHEMA could bypass search_path restrictions, allowing privilege escalation through security-definer functions or extension scripts. This is a security weakness related to access control and privilege management."
84,9a958a726783a57a,qwen3:30b-a3b,v2,Execution & correctness,0.95,true,false,"The fix addresses a security vulnerability where row-level security (RLS) policies were not enforced correctly when a set-returning function was inlined into a query, potentially allowing unauthorized access to rows. This is a security hardening issue due to improper enforcement of access controls."
85,7847ed6bb8f7a6aa,qwen3:30b-a3b,v2,"Storage, vacuum & TOAST",0.95,true,false,"The fix addresses improper buffer handling that could lead to data corruption in the template database when using the CREATE DATABASE with STRATEGY WAL_LOG option, specifically risking loss of modifications to the pg_class catalog. This is a memory safety issue related to buffer handling, not a numeric or performance issue."
86,9fe8b1722a36a01b,qwen3:30b-a3b,v2,"Storage, vacuum & TOAST",0.95,false,false,"The fix addresses memory leakage and unnecessary disk reads during the CREATE DATABASE operation with the STRATEGY WAL_LOG option, which relates to storage and disk I/O operations rather than security or performance improvements. The memory leakage is a stability issue, not a security vulnerability, and the disk reads are about efficiency but not classified under performance improvement as per the category definitions."
87,dc168eac6b32e813,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a crash caused by omitting the schema name in CREATE SCHEMA, which is a syntax error in the SQL standard but was handled incorrectly by the code. This is about incorrect handling of SQL syntax leading to a crash, falling under execution and correctness."
88,6e8c0fc8163cdc4e,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses issues in the query planner related to MERGE commands, specifically preventing planner failures such as 'variable not found in subplan target list' or 'PlaceHolderVar found where not expected.' This is fundamentally about the planner's ability to correctly handle MERGE command structures during query planning."
89,a202ac8afd23e825,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses the reporting of row counts in the MERGE command, specifically ensuring that rows modified by a BEFORE ROW trigger returning NULL are not counted, aligning with the behavior of UPDATE and DELETE. It also prevents double-counting rows moved between partitions in a partitioned table. This is fundamentally about correct query result semantics during execution, not performance or security."
90,447909bc721ff5ba,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses issues with the MERGE statement when concurrent updates occur, specifically preventing crashes and ensuring correct execution of merge actions. This relates to query execution correctness under concurrency."
91,9ad7ee1eee3916fe,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix adds decompilation support for MERGE commands, which is about the SQL command's handling in the context of SQL functions, specifically addressing a missing feature in the rewriter or parser for MERGE statements."
92,352e8ed19a39aa49,qwen3:30b-a3b,v2,Partitioning & inheritance,0.95,false,false,"The fix addresses an issue where enabling or disabling foreign-key triggers on partitioned tables failed due to incorrect trigger name matching, instead using the parent-trigger OID for proper identification. This is fundamentally about correct behavior of triggers in partitioned tables, which falls under the 'Partitioning & inheritance' category."
93,79f48d7c108e2f22,qwen3:30b-a3b,v2,Indexes,0.95,false,false,"The fix addresses a scenario where altering composite types used in indexes could lead to inconsistencies, as the system previously allowed modifications that might not be compatible with existing index structures. This is fundamentally about ensuring correctness in index behavior when composite types are modified, which falls under the 'Indexes' category."
94,e4b20590d7f9db12,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix disallows system columns (like OID, which was removed) from being used in foreign keys, addressing a non-functional or invalid use-case that no longer has a valid purpose due to prior changes. This is about ensuring correct SQL semantics and preventing invalid configurations, not about performance, security, or other categories."
95,c8aeadcacc0daab0,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an issue where COPY TO from an RLS-enabled parent table was incorrectly including rows from child tables, which contradicts the documentation stating it should only copy from the named table. This is a correctness issue related to how RLS interacts with inheritance and COPY operations."
96,40644e6bd037d46c,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a potential crash when using array_position() or array_positions() with an empty array, which relates to backend stability and error handling during function execution."
97,f4a122ffade47595,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,true,false,"The fix addresses a potential out-of-bounds memory access in the to_char() function, which could lead to a server crash. This is a memory-safety issue, not a numeric overflow or arithmetic error."
98,e9dc2489f4353d2c,qwen3:30b-a3b,v2,"Numeric, overflow & limits",0.95,true,false,"The fix addresses a buffer overread in the translate() function, which is a memory safety issue where the function accesses memory beyond the allocated buffer. This is a security vulnerability that could lead to crashes or potential exploitation."
99,3d528b7d84518964,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix adjusts text-search-related character classification logic to correctly detect the C locale when the database's default collation uses ICU, addressing a specific issue in how locale handling affects text search behavior."
100,1f55fbc69bada390,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix addresses a potential crash when processing empty input for the 'interval' data type, which relates to handling invalid or unexpected input during data type processing. This is a stability issue tied to data type behavior, not a security vulnerability or performance improvement."
101,20a7c18588e7d01d,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix re-enables support for exponential notation in ISO-8601 interval fields, which was previously disallowed in version 15 but had been accepted in earlier versions. This is about maintaining compatibility with a previously accepted syntax for interval input, not about correctness, performance, or security."
102,18ef7aec8409b1bc,qwen3:30b-a3b,v2,"Data types, text & collation",0.95,false,false,"The fix addresses an issue where syntax errors in JSON string literals did not correctly set the error cursor, leading to misleading error messages or potential crashes. This is fundamentally about ensuring correct error reporting during query execution, specifically related to JSON parsing and syntax handling."
103,5d3bdcf80215eb3e,qwen3:30b-a3b,v2,"Storage, vacuum & TOAST",0.95,false,false,"The fix addresses a data corruption issue caused by an incorrect calculation of the vacuum cleanup horizon xid when vacuum_defer_cleanup_age exceeds the current 64-bit xid, leading to premature removal of live rows. This is fundamentally about storage and vacuum management, not performance or security."
104,f15383a8bdc86f94,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses a parser issue where improperly-nested aggregates were not detected, which could cause executor failures for invalid queries. This is fundamentally about query syntax validation during parsing, not about execution results or performance."
105,083b9f7b4fdf34e1,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a data structure corruption issue that occurs during the parsing of serial SEQUENCE NAME options, which can cause problems when an event trigger captures the corrupted parse tree. This is fundamentally about incorrect handling of data structures during parsing, leading to potential instability or incorrect behavior in the database system."
106,785a28274dfcb207,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses a planner oversight where parallel-safety markings for plan nodes were not correctly updated when moving initplans between nodes, which could cause runtime errors. This is fundamentally about query planning and optimization, specifically the planner's handling of parallel execution safety."
